22:06:15 HelloWorldKiosk.1 | started with pid 16255
22:06:15 JavaHello.1       | started with pid 16257
22:06:16 JavaHello.1       | env: {"KIOSK_PORT"=>"8002"}
22:06:16 JavaHello.1       | mall: /var/lib/gems/1.9.1/gems/service_kiosk-0.2.0/lib/mall.rb
22:06:16 JavaHello.1       | dir: /vagrant/mall/kiosks/JavaHello
22:06:16 HelloWorldKiosk.1 | env: {"KIOSK_PORT"=>"8001"}
22:06:16 HelloWorldKiosk.1 | mall: /var/lib/gems/1.9.1/gems/service_kiosk-0.2.0/lib/mall.rb
22:06:16 HelloWorldKiosk.1 | dir: /vagrant/mall/kiosks/HelloWorldKiosk
22:06:27 JavaHello.1       | [2013-06-11 22:06:27] INFO  WEBrick 1.3.1
22:06:27 JavaHello.1       | [2013-06-11 22:06:27] INFO  ruby 1.9.3 (2013-02-21) [java]
22:06:27 JavaHello.1       | == Sinatra/1.4.2 has taken the stage on 8002 for development with backup from WEBrick
22:06:27 JavaHello.1       | [2013-06-11 22:06:27] INFO  WEBrick::HTTPServer#start: pid=16261 port=8002
22:06:28 HelloWorldKiosk.1 | [2013-06-11 22:06:28] INFO  WEBrick 1.3.1
22:06:28 HelloWorldKiosk.1 | [2013-06-11 22:06:28] INFO  ruby 1.9.3 (2013-02-21) [java]
22:06:28 HelloWorldKiosk.1 | == Sinatra/1.4.2 has taken the stage on 8001 for development with backup from WEBrick
22:06:28 HelloWorldKiosk.1 | [2013-06-11 22:06:28] INFO  WEBrick::HTTPServer#start: pid=16260 port=8001
SIGTERM received
22:07:28 system            | sending SIGTERM to all processes
22:07:28 JavaHello.1       | terminated by SIGTERM
22:07:28 HelloWorldKiosk.1 | terminated by SIGTERM
